Option_Type,Spot_Price,Strike_Price,Time_to_Expiry,Expiry_Date,Implied_Volatility,Risk_Free_Rate,Market_Price,BSM_Theoretical_Price
Call,22000,22900,0.25,2025-11-09,0.19,0.06,586.87,572.42
Put,22000,21600,0.04,2025-08-25,0.18,0.06,140.01,134.2
Call,22000,22000,0.25,2025-11-09,0.27,0.06,1256.47,1336.69
Put,22000,21200,0.25,2025-11-09,0.34,0.06,954.19,970.42
Put,22000,21500,0.04,2025-08-25,0.19,0.06,111.96,114.69
Call,22000,21000,0.16,2025-10-10,0.27,0.06,1610.66,1665.06
Call,22000,22100,0.02,2025-08-18,0.21,0.06,237.16,217.93
Call,22000,21900,0.16,2025-10-10,0.34,0.06,1409.08,1381.11
Call,22000,22400,0.08,2025-09-10,0.23,0.06,412.52,440.28
Put,22000,21200,0.25,2025-11-09,0.27,0.06,712.07,680.83
Call,22000,21800,0.04,2025-08-25,0.34,0.06,790.04,714.26
Put,22000,22300,0.04,2025-08-25,0.23,0.06,556.71,529.38
Put,22000,21100,0.16,2025-10-10,0.2,0.06,250.32,270.9
Put,22000,21600,0.16,2025-10-10,0.25,0.06,586.66,601.21
Call,22000,21200,0.02,2025-08-18,0.2,0.06,901.9,848.17
Put,22000,21300,0.04,2025-08-25,0.24,0.06,125.33,129.93
Put,22000,21900,0.16,2025-10-10,0.19,0.06,526.37,514.94
Call,22000,22700,0.04,2025-08-25,0.24,0.06,178.64,171.98
Put,22000,21300,0.16,2025-10-10,0.16,0.06,204.13,214.05
Put,22000,22500,0.25,2025-11-09,0.2,0.06,977.85,980.77
Call,22000,22200,0.02,2025-08-18,0.21,0.06,148.8,177.58
Call,22000,21000,0.02,2025-08-18,0.35,0.06,1054.8,1111.75
Put,22000,21000,0.16,2025-10-10,0.21,0.06,270.06,273.51
Call,22000,22000,0.08,2025-09-10,0.29,0.06,737.52,786.59
Call,22000,21200,0.02,2025-08-18,0.27,0.06,962.39,889.76
Put,22000,21600,0.04,2025-08-25,0.17,0.06,114.02,122.8
Call,22000,21800,0.16,2025-10-10,0.22,0.06,964.93,986.64
Put,22000,21400,0.08,2025-09-10,0.27,0.06,372.57,370.15
Put,22000,21200,0.02,2025-08-18,0.23,0.06,39.33,36.69
Call,22000,22300,0.08,2025-09-10,0.3,0.06,623.82,672.07
Put,22000,22300,0.08,2025-09-10,0.25,0.06,785.81,742.62
Call,22000,21900,0.16,2025-10-10,0.17,0.06,776.97,776.57
Call,22000,21600,0.02,2025-08-18,0.21,0.06,497.11,522.77
Put,22000,21300,0.25,2025-11-09,0.2,0.06,448.57,438.44
Call,22000,22400,0.08,2025-09-10,0.19,0.06,355.06,351.56
Call,22000,21600,0.08,2025-09-10,0.29,0.06,969.9,999.91
Put,22000,21100,0.04,2025-08-25,0.31,0.06,181.28,180.65
Call,22000,21500,0.16,2025-10-10,0.31,0.06,1450.74,1479.24
Put,22000,22900,0.08,2025-09-10,0.21,0.06,1037.08,1031.23
Call,22000,21600,0.02,2025-08-18,0.2,0.06,531.66,514.62
Call,22000,22900,0.25,2025-11-09,0.32,0.06,1247.77,1156.09
Call,22000,21500,0.08,2025-09-10,0.23,0.06,874.2,931.87
Call,22000,21000,0.08,2025-09-10,0.2,0.06,1365.38,1233.79
Put,22000,22400,0.08,2025-09-10,0.21,0.06,632.22,700.6
Put,22000,21800,0.16,2025-10-10,0.22,0.06,590.54,595.06
Call,22000,22900,0.16,2025-10-10,0.2,0.06,448.56,435.74
Put,22000,21200,0.02,2025-08-18,0.18,0.06,14.7,14.5
Put,22000,22600,0.08,2025-09-10,0.27,0.06,933.29,963.28
Put,22000,21400,0.02,2025-08-18,0.28,0.06,107.72,108.85
Put,22000,21100,0.25,2025-11-09,0.25,0.06,540.21,553.86
Put,22000,21500,0.16,2025-10-10,0.17,0.06,285.35,294.01
Put,22000,22600,0.25,2025-11-09,0.28,0.06,1407.55,1350.19
Put,22000,22000,0.02,2025-08-18,0.18,0.06,210.04,206.35
Call,22000,21500,0.25,2025-11-09,0.32,0.06,1757.56,1820.64
Put,22000,21300,0.08,2025-09-10,0.29,0.06,406.9,389.38
